"plot","cade","abma","abco","pije","pila","abma_abco","pije_pila","species","treat","burned","dmort","dbh_s","growth_z","n_size1_s","n_lg_s","f_eng","p_mpb","p_jpb","p_rtb","nba_eng_hs","nba_eng_ns","nba_rtb_hs","nba_rtb_ns","nba_mpb_hs","nba_mpb_ns","nba_jpb_hs","nba_jpb_ns","twi_s","srad_s","p_rtbmpb","p_rtbjpb"
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,-1.32212114972769,-0.6729118,1.68096443940977,0.548063991363876,1,0,0,0,0.312705490883281,-1.59166647582598,-0.999802685644583,0.0848485024388088,-0.819107301294472,-0.0115903654562248,-0.461223196874152,-0.0928877648635305,0.54793946308684,-1.01484478925006,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-0.482196824693108,-0.118943,1.68096443940977,0.548063991363876,0,0,0,0,0.301311793212254,-1.59166647582598,-0.999802685644583,0.0707619486058527,-0.819107301294472,-0.0270134655119143,-0.461223196874152,-0.10768173217259,0.559508713828231,-1.00214083729072,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,1,1.79776646482502,-0.2039426,-0.314657260886723,-0.273961249218371,0,0,0,0,0.356850624493152,0.822276516635726,1.2347675510051,0.139427166803387,1.51442864442301,0.0481667768074443,-0.461223196874152,0.445211379861432,1.58905341269352,-0.362326748087565,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.331327859566083,0.08771597,1.60412171924017,0.548063991363876,0,0,0,0,0.247268326412837,-1.59166647582598,-0.999802685644583,0.00394551847313124,-0.819107301294472,-0.10016950491809,-0.461223196874152,-0.177853620543112,0.657008473747038,-0.977240047259526,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-1.6922644370631,-0.6707799,1.60412171924017,0.548063991363876,0,0,0,0,0.266586659990025,-1.59166647582598,-0.999802685644583,0.0278296651088673,-0.819107301294472,-0.0740192067205348,-0.461223196874152,-0.152770034541602,0.810887946592904,-0.979638420707842,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,-1.45393971747319,-0.5965937,1.60412171924017,0.548063991363876,1,0,0,0,0.265493975166708,-1.59166647582598,-0.999802685644583,0.0264787284743751,-0.819107301294472,-0.0754983215650701,-0.461223196874152,-0.15418881394246,0.792082857258491,-0.955376184853415,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,-1.65523740768926,-0.7067382,1.60412171924017,0.548063991363876,1,0,0,0,0.266443710768769,-1.59166647582598,-0.999802685644583,0.0276529303947524,-0.819107301294472,-0.0742127101999118,-0.461223196874152,-0.152955644706728,0.71196525981697,-0.940938427715488,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,-1.67361066311015,-0.6586013,1.60412171924017,0.548063991363876,1,0,0,0,0.266515732137194,-1.59166647582598,-0.999802685644583,0.0277419737336862,-0.819107301294472,-0.0741152183405149,-0.461223196874152,-0.152862129695115,0.770118809868762,-0.933689911336744,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,-1.63713635867721,-0.634139,1.60412171924017,0.548063991363876,1,0,0,0,0.266370595397501,-1.59166647582602,-0.999802685644583,0.027562534489654,-0.819107301294472,-0.0743116829582947,-0.461223196874152,-0.153050580209105,0.780120084899467,-0.931926115840943,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-0.864321269848727,-0.3612497,1.64320564792039,0.548063991363876,0,0,0,0,0.261440482898198,-1.59166647582598,-0.999802685644583,0.0214672090624611,-0.819107301294472,-0.0809853389177564,-0.461223196874152,-0.159452007142711,0.756153071368597,-0.938579222317205,0,0
